isolation_source,category_1,category_2,category_3
hip swab,Animal Associated,Human Others,Other Human Body Parts
breast of healthy woman,Animal Associated,Human Others,Other Human Body Parts
exoskeleton swab,Animal Associated,Human Others,Other Human Body Parts
dentine caries,Animal Associated,Human Others,Other Human Body Parts
bile duct,Animal Associated,Human Others,Other Human Body Parts
colon,Animal Associated,Human Others,Other Human Body Parts
surface sterilised adult,Animal Associated,Human Others,Other Human Body Parts
adult body,Animal Associated,Human Others,Other Human Body Parts
foot,Animal Associated,Human Others,Other Human Body Parts
nose,Animal Associated,Human Others,Other Human Body Parts
arm,Animal Associated,Human Others,Other Human Body Parts
toe,Animal Associated,Human Others,Other Human Body Parts
elbow,Animal Associated,Human Others,Other Human Body Parts
heel,Animal Associated,Human Others,Other Human Body Parts
pre-scapular,Animal Associated,Human Others,Other Human Body Parts
adult,Animal Associated,Human Others,Other Human Body Parts
child,Animal Associated,Human Others,Other Human Body Parts
patient suffering from hus,Animal Associated,Human Others,Other Human Body Parts
yolk sac,Animal Associated,Human Others,Other Human Body Parts
abdomen of patient with peritoneal carcinomatosis,Animal Associated,Human Others,Other Human Body Parts
veterinary,Animal Associated,Human Others,Other Human Body Parts
granulomatous lesion,Animal Associated,Human Others,Other Human Body Parts
pannus- joint,Animal Associated,Human Others,Other Human Body Parts
right ankle,Animal Associated,Human Others,Other Human Body Parts
auricular swab,Animal Associated,Human Others,Other Human Body Parts
abdomen,Animal Associated,Human Others,Other Human Body Parts
eye,Animal Associated,Human Others,Other Human Body Parts
nasal,Animal Associated,Human Others,Other Human Body Parts
genital,Animal Associated,Human Others,Other Human Body Parts
physical,Animal Associated,Human Others,Other Human Body Parts
abdominal,Animal Associated,Human Others,Other Human Body Parts
peritoneal cavity,Animal Associated,Human Others,Other Human Body Parts
infant,Animal Associated,Human Others,Other Medical Samples
clinical: human (homo sapiens),Animal Associated,Human Others,Other Medical Samples
clinical patient,Animal Associated,Human Others,Other Medical Samples
human metabolite,Animal Associated,Human Others,Other Medical Samples
clinical sample,Animal Associated,Human Others,Other Medical Samples
tonsil swab,Animal Associated,Human Others,Other Medical Samples
fistula,Animal Associated,Human Others,Other Medical Samples
knee,Animal Associated,Human Others,Other Medical Samples
tonsillar swab,Animal Associated,Human Others,Other Medical Samples
foot swap,Animal Associated,Human Others,Other Medical Samples
nasal discharge,Animal Associated,Human Others,Other Medical Samples
popliteal fossa swab,Animal Associated,Human Others,Other Medical Samples
nasopharyngeal swab,Animal Associated,Human Others,Other Medical Samples
pharyngeal swab,Animal Associated,Human Others,Other Medical Samples
throat swab of office worker,Animal Associated,Human Others,Other Medical Samples
nodules,Animal Associated,Human Others,Other Medical Samples
human,Animal Associated,Human Others,Other Medical Samples
abdominal drainage,Animal Associated,Human Others,Other Medical Samples
human scar swab,Animal Associated,Human Others,Other Medical Samples
patient,Animal Associated,Human Others,Other Medical Samples
hera general hopsital; patient,Animal Associated,Human Others,Other Medical Samples
excreted bodily substance,Animal Associated,Human Others,Other Medical Samples
swab,Animal Associated,Human Others,Other Medical Samples
outbreaks of food poisoning,Animal Associated,Human Others,Other Medical Samples
human sample,Animal Associated,Human Others,Other Medical Samples
clinical sample from patient with gastroenteritis,Animal Associated,Human Others,Other Medical Samples
patient sample,Animal Associated,Human Others,Other Medical Samples
clinical isolation,Animal Associated,Human Others,Other Medical Samples
cholera patient,Animal Associated,Human Others,Other Medical Samples
clinic,Animal Associated,Human Others,Other Medical Samples
laboratory sample,Animal Associated,Human Others,Other Medical Samples
sample from a sick person,Animal Associated,Human Others,Other Medical Samples
public health laboratory,Animal Associated,Human Others,Other Medical Samples
probiotic capsule,Animal Associated,Human Others,Probiotic
probiotic supplement food,Animal Associated,Human Others,Probiotic
commercial probiotic,Animal Associated,Human Others,Probiotic
"probiotic preparation ""lactobacterinum""",Animal Associated,Human Others,Probiotic
probiotics,Animal Associated,Human Others,Probiotic
probitic products,Animal Associated,Human Others,Probiotic
nasopharynx,Animal Associated,Human Respiratory System Related,Human Respiratory System
human nasopharynx,Animal Associated,Human Respiratory System Related,Human Respiratory System
respiratory,Animal Associated,Human Respiratory System Related,Human Respiratory System
bronchial washing,Animal Associated,Human Respiratory System Related,Human Respiratory System
trach aspirate,Animal Associated,Human Respiratory System Related,Human Respiratory System
sputum,Animal Associated,Human Respiratory System Related,Human Respiratory System
lung,Animal Associated,Human Respiratory System Related,Human Respiratory System
throat,Animal Associated,Human Respiratory System Related,Human Respiratory System
nasal lavage,Animal Associated,Human Respiratory System Related,Human Respiratory System
throat and nasal swab,Animal Associated,Human Respiratory System Related,Human Respiratory System
swab from patient with pharyngitis/tonsilitis,Animal Associated,Human Respiratory System Related,Human Respiratory System
nasal tract,Animal Associated,Human Respiratory System Related,Human Respiratory System
respiratory tracks,Animal Associated,Human Respiratory System Related,Human Respiratory System
pharyngeal swab from venezuelan patient with diphtheria,Animal Associated,Human Respiratory System Related,Human Respiratory System
trach wash,Animal Associated,Human Respiratory System Related,Human Respiratory System
blowhole swab,Animal Associated,Human Respiratory System Related,Human Respiratory System
tracheal aspirate,Animal Associated,Human Respiratory System Related,Human Respiratory System
pharynx,Animal Associated,Human Respiratory System Related,Human Respiratory System
bronchitis secretion from patient in hospital,Animal Associated,Human Respiratory System Related,Human Respiratory System
nasal swab,Animal Associated,Human Respiratory System Related,Human Respiratory System
retropharyngeal,Animal Associated,Human Respiratory System Related,Human Respiratory System
urine,Animal Associated,Human Urogenital Tract Related,Urine Related
catheter,Animal Associated,Human Urogenital Tract Related,Urine Related
urine cath,Animal Associated,Human Urogenital Tract Related,Urine Related
urinary tract,Animal Associated,Human Urogenital Tract Related,Urine Related
uti,Animal Associated,Human Urogenital Tract Related,Urine Related
clinical sample: urine,Animal Associated,Human Urogenital Tract Related,Urine Related
human; urinary tract infection,Animal Associated,Human Urogenital Tract Related,Urine Related
urine from healthy adult with cystitis,Animal Associated,Human Urogenital Tract Related,Urine Related
urine [envo:00002047],Animal Associated,Human Urogenital Tract Related,Urine Related
urine; catheter urine,Animal Associated,Human Urogenital Tract Related,Urine Related
urine from a woman with pelvic cancer,Animal Associated,Human Urogenital Tract Related,Urine Related
urine sample,Animal Associated,Human Urogenital Tract Related,Urine Related
bladder epithelial biopsy from 50-year-old female patient with recurrent urinary tract infection,Animal Associated,Human Urogenital Tract Related,Urine Related
urine (recurrent uti),Animal Associated,Human Urogenital Tract Related,Urine Related
urine (asymptomatic uti),Animal Associated,Human Urogenital Tract Related,Urine Related
urine; urinary tract infection,Animal Associated,Human Urogenital Tract Related,Urine Related
urine from cystostomy,Animal Associated,Human Urogenital Tract Related,Urine Related
urinary catheter,Animal Associated,Human Urogenital Tract Related,Urine Related
isolate from a young female with long term asymptomatic bacteriuria (abu),Animal Associated,Human Urogenital Tract Related,Urine Related
urine from child < 5 years old,Animal Associated,Human Urogenital Tract Related,Urine Related
urinary,Animal Associated,Human Urogenital Tract Related,Urine Related
vagina,Animal Associated,Human Urogenital Tract Related,Vagina Related
mid-vagina,Animal Associated,Human Urogenital Tract Related,Vagina Related
vagina of healthy reproductive indian woman,Animal Associated,Human Urogenital Tract Related,Vagina Related
high vaginal swab,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal sample,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal secretions,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal swab,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal tract,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal swab from patient with trichomoniasis,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal swabs,Animal Associated,Human Urogenital Tract Related,Vagina Related
vagina of a healthy nigerian woman,Animal Associated,Human Urogenital Tract Related,Vagina Related
vagina of healthy woman with no history of infectious and somatic diseases of the gastrointestinal tract and other organ systems,Animal Associated,Human Urogenital Tract Related,Vagina Related
vagina of healthy woman,Animal Associated,Human Urogenital Tract Related,Vagina Related
mid-vaginal wall,Animal Associated,Human Urogenital Tract Related,Vagina Related
korean vaginal fluid,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal,Animal Associated,Human Urogenital Tract Related,Vagina Related
genital tract of a healthy woman,Animal Associated,Human Urogenital Tract Related,Vagina Related
high vaginal swabs,Animal Associated,Human Urogenital Tract Related,Vagina Related
"""urogenital tract, vaginal""",Animal Associated,Human Urogenital Tract Related,Vagina Related
human vaginal discharge,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal environment,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal discharge,Animal Associated,Human Urogenital Tract Related,Vagina Related
vaginal secretion,Animal Associated,Human Urogenital Tract Related,Vagina Related
wound labia,Animal Associated,Human Urogenital Tract Related,Vagina Related
female urogenital tract,Animal Associated,Human Urogenital Tract Related,Vagina Related
healthy female urogenital tract,Animal Associated,Human Urogenital Tract Related,Vagina Related
turkey with septicemic infection,Animal Associated,Inflammation and Infection,Infection
bone infection of foot,Animal Associated,Inflammation and Infection,Infection
foreleg infected wound,Animal Associated,Inflammation and Infection,Infection
pharyngeal pseudomembrane,Animal Associated,Inflammation and Infection,Infection
tracheal pseudomembrane,Animal Associated,Inflammation and Infection,Infection
otitis externa,Animal Associated,Inflammation and Infection,Infection
